ID,NAME,LAT,LON
KSRX,FT SMITH,35.290417,-94.361889
PAIH,MIDDLETON IS,59.460767,-146.303447
PHMO,MOLOKAI,21.132778,-157.180278
TIDS,INDIANAPOLIS,39.636944,-86.436111
TMCI,KANSAS CITY,39.498056,-94.74194400000002
TEWR,NEWARK,40.593056,-74.27
TPHL,PHILA,39.948889,-75.068889
KOUN,NORMAN NSSL,35.236058,-97.46235
KCCX,STATE COLLEGE,40.923167,-78.003722
KBLX,BILLINGS,45.853778,-108.606806
KBYX,KEY W,24.5975,-81.703167
KCLE,CLEVELAND,41.413217,-81.859867
KCLX,CHARLESTON,32.655528,-81.042194
KDTX,DETROIT,42.7,-83.471667
KDVN,DAVENPORT,41.611667,-90.580833
KEMX,TUCSON,31.89365,-110.63025
KEOX,FT RUCKER,31.460556,-85.459389
KEVX,EGLIN AFB,30.565033,-85.921667
KFDX,CANNON AFB,34.634167,-103.618889
KFFC,ATLANTA,33.36355,-84.56595
KFTG,DENVER FRONT RANGE AP,39.786639,-104.545806
KGRB,GREEN BAY,44.498633,-88.111111
KGRK,FT HOOD,30.721833,-97.382944
KGWX,COLUMBUS AFB,33.896917,-88.329194
KLWX,STERLING,38.976111,-77.4875
KMUX,SAN FRANCISCO,37.155222,-121.898444
KMXX,MAXWELL AFB,32.53665,-85.78975
KOAX,OMAHA,41.320369,-96.366819
KTWX,TOPEKA,38.99695,-96.23255
PABC,BETHEL FAA,60.791944,-161.876389
PHKI,S KAUAI,21.893889,-159.5525
KBHX,EUREKA,40.498583,-124.292167
KBUF,BUFFALO,42.948789,-78.736781
KCBX,BOISE,43.490217,-116.236033
KDMX,DES MOINES,41.7312,-93.722869
KENX,ALBANY,42.586556,-74.064083
KEWX,AUSTIN SAN ANTONIO,29.704056,-98.02861099999998
KGLD,GOODLAND,39.366944,-101.700278
KLRX,ELKO,40.73955,-116.8027
KLVX,LOUISVILLE,37.975278,-85.943889
KMOB,MOBILE,30.679444,-88.24
KMPX,MINNEAPOLIS,44.848889,-93.565528
KMSX,MISSOULA,47.041,-113.986222
KPAH,PADUCAH,37.068333,-88.771944
KSOX,SANTA ANA MOUNTAINS,33.817733,-117.636
KUDX,RAPID CITY,44.124722,-102.83
KVBX,VANDENBERG AFB,34.83855,-120.397917
PAIH,MIDDLETON IS,59.460767,-146.303447
PAKC,KING SALMON,58.67944399999999,-156.629444
PAPD,FAIRBANKS,65.035114,-147.501431
TADW,ANDREWS AFB,38.695,-76.845
TLVE,CLEVELAND,41.29,-82.008056
TDAL,DALLAS LOVE FLD,32.926111,-96.968056
TMSY,NEW ORLEANS,30.021944,-90.403056
TOKC,NORMAN WFO,35.276111,-97.51
TPIT,PITTSBURGH,40.501111,-80.486111
TTUL,TULSA,36.071111,-95.826944
KLIX,NEW ORLEANS,30.336667,-89.825417
KPOE,FT POLK,31.155278,-92.976111
RKJK,KUNSAN,35.924167,126.622222
TLAS,LAS VEGAS,36.143889,-115.00694
KDOX,DOVER AFB,38.825767,-75.440117
KILX,LINCOLN,40.1505,-89.336792
KMQT,MARQUETTE,46.531111,-87.548333
KRTX,PORTLAND,45.715039,-122.965
KTLH,TALLAHASSEE,30.397583,-84.328944
KJAX,JACKSONVILLE,30.484633,-81.7019
KPUX,PUEBLO,38.45955,-104.18135
KEYX,EDWARDS,35.09785,-117.56075
THOU,HOUSTON HOBBY,29.516111,-95.24194400000002
KCBW,HOULTON,46.03925,-67.806431
KBMX,BIRMINGHAM,33.172417,-86.770167
KDIX,PHILA,39.947089,-74.410731
KLCH,LAKE CHARLES,30.125306,-93.21588900000002
KSFX,POCATELLO,43.1056,-112.686133
KMKX,MILWAUKEE,42.9679,-88.550667
KOHX,NASHVILLE,36.247222,-86.5625
KYUX,YUMA,32.495281,-114.656711
RKSG,CAMP HUMPHREYS,37.207569,127.285561
TFLL,FT LAUDERDALE,26.143056,-80.343889
KLGX,LANGLEY HILL NW WASHIN,47.11694399999999,-124.106667
